,lon,lat,nltk_sentiment,count,total,%neg,nltk_cmp_score
326,103.930679309,1.31364174742,Negative,36,535,6.728971962616822,0.10792149532710281
327,103.930679309,1.32364174742,Negative,183,1724,10.614849187935036,0.17228816705336428
328,103.930679309,1.33364174742,Negative,39,406,9.60591133004926,0.09308817733990148
329,103.930679309,1.34364174742,Negative,40,341,11.730205278592376,0.24262727272727272
330,103.930679309,1.35364174742,Negative,30,427,7.02576112412178,0.18144192037470727
331,103.930679309,1.36364174742,Negative,6,95,6.315789473684211,0.28995263157894735
332,103.930679309,1.37364174742,Negative,40,294,13.60544217687075,0.15091496598639456
333,103.930679309,1.38364174742,Negative,2,31,6.451612903225806,0.09831612903225805
334,103.940679309,1.30364174742,Negative,11,98,11.224489795918368,0.07090306122448979
335,103.940679309,1.31364174742,Negative,18,305,5.901639344262295,0.20793868852459016
336,103.940679309,1.32364174742,Negative,55,492,11.178861788617883,0.14544430894308943
337,103.940679309,1.33364174742,Negative,35,362,9.668508287292818,0.12449116022099449
338,103.940679309,1.34364174742,Negative,29,397,7.304785894206549,0.20348362720403024
339,103.940679309,1.35364174742,Negative,143,1663,8.598917618761275,0.21162711966325917
340,103.940679309,1.36364174742,Negative,12,155,7.741935483870968,0.2723851612903226
341,103.940679309,1.37364174742,Negative,44,515,8.54368932038835,0.223293786407767
342,103.940679309,1.38364174742,Negative,20,336,5.952380952380952,0.3781517857142857
343,103.950679309,1.31364174742,Negative,4,67,5.970149253731343,0.15191940298507461
344,103.950679309,1.32364174742,Negative,40,543,7.366482504604052,0.17145303867403316
345,103.950679309,1.33364174742,Negative,64,468,13.675213675213676,0.12195021367521366
